qc_job_name|qc_co_name|qc_job_loc|qc_job_pay|qc_job_date|qc_job_desc|qc_co_type|qc_co_ee_size|qc_co_tags|qc_co_desc|qc_co_address
国际空运海外销售推广|深圳柏阳国际物流有限公司|宁波|1-1.5万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外代理开发|上海豹海国际货运代理有限公司|上海-虹口区|5-8.9千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外置业顾问（留学生优先）|上海德佑物业顾问有限公司|上海-静安区|1-1.5万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
销售 无责4k底薪 五险一金 专业培训 海外游|苏州我爱我家房地产经纪有限公司葑门分店|苏州-姑苏区|0.8-1万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
英文SEM海外推广 google adwords bing 广告|广州时时美电子商务有限公司|广州-荔湾区|0.6-1万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
H海外派驻（新加坡、马来西亚、加拿大）|北京骏嘉财通科技有限公司|北京-东城区|0.8-1.8万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
SNS海外社交媒体(运营主管)|杭州谷德网络科技有限公司|广州-番禺区|4.5-6千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
渠道支持经理（海外）|北京致远互联软件股份有限公司|深圳|0.8-1.2万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外区域经理|广东德宁生物技术有限公司|异地招聘|10-40万/年|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
外贸经理/国际业务经理/海外业务经理|深圳市光中道电子有限公司|深圳-福田区|1-1.5万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外市场拓展及翻译|昆山迈吉兴建筑设计有限公司|上海-杨浦区|3-6千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外大区经理（上海 嘉定区）|上海瑞尔实业有限公司|上海-嘉定区|1.5-3万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外客户服务专员|深圳吉吉国际物流供应链管理有限公司|深圳-罗湖区|5-6千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外市场销售|苏州工业园区高泰电子有限公司|苏州|0.5-1.5万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外房产销售顾问|深圳市邦拓投资顾问有限公司|深圳-福田区|1.5-2万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
货运代理（货代） 海外市场专员|深圳马士威尔国际物流有限公司|深圳-宝安区|0.3-1万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
收银员（海外滩店）|杭州鸣晨餐饮管理有限公司|上海|3-4.5千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
外贸业务员/海外销售精英/外贸专员（急聘）+高薪诚聘|深圳市时代环球科技有限公司|深圳-福田区|0.3-1.5万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外部经理|深圳渝航国际货运代理有限公司|深圳-罗湖区|0.8-1万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外销售工程师/外贸销售工程师|上海施途化工科技有限公司|上海-松江区|6-8千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
京东 海外销售员|深圳市易科森科技发展有限公司|深圳-龙华新区|6-8千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外销售|深圳立芯电子信息有限公司|深圳-罗湖区|1-1.5万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
外贸销售国际营销贸易专员跟单助理海外业务翻译奖金|北京天逸昌晟商贸有限公司|北京|10-15万/年|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外客服/操作|青岛金沃国际物流有限公司|青岛-市南区|3-4.5千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
