qc_job_name|qc_co_name|qc_job_loc|qc_job_pay|qc_job_date|qc_co_type|qc_co_ee_size|qc_co_tags|qc_co_desc|qc_co_address
海外客服|博尔晟国际货运代理（上海）有限公司|上海-长宁区|3-4.5千/月|06-12|外资（欧美）  |  少于50人  |  交通/运输/物流||公司地址：上海市长宁区(邮编：200050)
海外移民顾问|中软银软件（北京）股份有限公司|异地招聘|1-1.5万/月|06-12|民营公司  |  50-150人  |  互联网/电子商务||公司地址：上海市杨浦区政学路51号创智天地企业中心2号楼(邮编：000000)
海外业务经理|上海佩海国际物流有限公司|上海-虹口区|0.8-1万/月|06-12|合资  |  少于50人  |  交通/运输/物流||公司地址：上海市虹口区四平路775号天宝华庭2号楼1204(邮编：200080)
海外销售（底薪4200-6000+餐补+提成+双休）|深圳市华鑫物流有限公司|深圳-罗湖区|0.4-1万/月|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：深圳市南山区蛇口太子路1号新时代广场19GH(邮编：518067)
海外销售工程师|广州鲁邦通物联网科技有限公司|广州|0.3-1.5万/月|06-12|民营公司  |  50-150人  |  互联网/电子商务通信/电信/网络设备||公司地址：510655(邮编：650655)
海外会议销售|上海英致商务咨询有限公司|上海-黄浦区|4.5-6千/月|06-12|民营公司  |  50-150人  |  公关/市场推广/会展||公司地址：北京东路668号科技京城大厦西楼15E(邮编：200002)
海外平台运营专员|携程旅行网广州分公司|广州|6-9千/月|06-12|民营公司  |  500-1000人  |  互联网/电子商务酒店/旅游||公司地址：广州市体育东路116-118号财富广场西塔24楼(邮编：510620)
海外市场代表|上海丰沃实业有限公司|异地招聘|6-8千/月|06-12|民营公司  |  150-500人  |  贸易/进出口机械/设备/重工||公司地址：上海市延安西路1088号长峰中心18楼(邮编：200052)
海外厨师|未来集团|异地招聘|6-8千/月|06-12|民营公司  |  500-1000人  |  建筑/建材/工程贸易/进出口||公司地址：汉阳区彭家岭398号未来工业园(邮编：430051)
海外投资经理|西安郅辉房地产开发有限公司|西安-碑林区|1-1.5万/月|06-12|民营公司  |  500-1000人  |  房地产||公司地址：西安市碑林区南二环西段88号老三届世纪星大厦16楼AB座(邮编：710065)
海外销售经理/总监|广州视声智能股份有限公司|广州-萝岗区|1-1.5万/月|06-12|上市公司  |  150-500人  |  电子技术/半导体/集成电路仪器仪表/工业自动化||公司地址：广州大学城中二横路22号国家数字家庭应用示范产业基地A区9楼(邮编：510006)
英语销售/海外销售|上海艾筑信息科技有限公司|上海-普陀区|4.5-8千/月|06-12|民营公司  |  少于50人  |  影视/媒体/艺术/文化传播专业服务(咨询、人力资源、财会)||公司地址：普陀区新村路(邮编：200070)
海外会议销售顾问|ECV International|上海-闸北区|4.5-6千/月|06-12|民营公司  |  50-150人  |  公关/市场推广/会展专业服务(咨询、人力资源、财会)||公司地址：闸北区俞泾港路11号108创意广场，金座1012室(邮编：200070)
