qc_job_name|qc_job_desc|qc_co_name|qc_job_loc|qc_job_pay|qc_job_date|qc_co_type|qc_co_ee_size|qc_co_tags|qc_co_desc|qc_co_address
雅思教师（雅思7分、海外留学生或有教学经验者优先）|大专招聘3人06-26发布五险一金补充医疗保险员工旅游交通补贴餐饮补贴通讯补贴绩效奖金年终奖金弹性工作专业培训|朗阁教育集团（青岛）|青岛|6-8千/月|06-26|民营公司  |  500-1000人  |  教育/培训/院校|朗阁培训中心，朗阁教育集团旗下英语教育旗舰品牌。成立于1999年，是中国最大的雅思、新托福培训基地之一。总部位于上海，目前在上海、北京、南京、无锡、常州、镇江、苏州、青岛、济南、广州、厦门、福州、杭州、温州、宁波、成都、重庆、武汉、长沙、海口、兰州、桂林、南昌、大连、扬州、南宁、沈阳、石家庄、银川、芜湖等30多个城市拥有至少50多个校区，总教学面积超过80000平方米，每年学员数量超过100000人，形成完善的全国教学服务网络。LongreTrainingCenterwasfoundedin1999astheflagshipbrandofLongreEducationGroup.HeadquarteredinShanghai,itisoneofthelargesttrainingcenterinChinabaseforIELTSandToefliBT&SAT.;Presentlyitownsatleast50campuseswithclassroomfloorspaceofover80,000squaremetersin30majorcitiesnationwideincludingShanghai,Beijing,Nanjing,Wuxi,Chuangzhou,Zhenjiang,Suzhou,Qingdao,Jinan,Guangzhou,Xiamen,Fuzhou,Hangzhou,Wenzhou,Ningbo,Chengdu,Chongqing,Wuhan,Changsha,Haikou,Lanzhou,Guilin,Nanchuang,Dalian.Yangzhou,Nanning,Shenyang,Shijiazhuang,Yinchuan,Wuhu,etc.etcLongreTrainingCenterhasanationalacademicnetworkservicinganannualintakeofover100,000students.从海外考试领域到英语培训领域，朗阁培训中心一直致力于雅思（IELTS）、新托福（TOEFLiBT）、口语、企业团训的学术研究，先后出版近百套专业英语书籍。中心还荟集了上百位优秀中外雅思、新托福、口语等语言教育专家。并已经帮助数十万名考生在雅思、新托福、口语领域达到理想高分。成为英语培训领域领军品牌。LongreTrainingCenterhaslongbeendedicatedtoacademicresearchinIELTS,ToefliBT,oralEnglishteaching,aswellascorporateEnglishtraining.Longrehaspublishedcloseto100setsofprofessionalbooksandmaterialonEnglishlearning.Ithasateamofover100outstandingdomesticandforeigneducationalspecialistswhohavehelpedtensofthousandsofcandidatesfromdifferentlevelsprepareforIELTS,ToefliBTordeveloptheiroralEnglishskills.Overtheyears,LongrehasestablisheditselfastheleadingbrandintheEnglishlanguagetrainingindustry.朗阁培训中心还拥有朗阁海外考试研究中心，是针对各类海外考试和教学进行研究的专业性研发机构。研发中心充分利用朗阁教育集团多年海外考试培训积累的教学资源，并依托一批专业研发人员和管理人员的丰富经验，从各类海外考试的动态发展、教学方法与教学材料设计、教师培训与认证、新产品研发、留学英语成绩评估等各方面展开工作。建设目标是力争在各类海外考试和教学研究方面处于同行业领先地位，并向朗阁培训中心提供各类海外考试教学活动或学术活动的全方位支持。LongreTrainingCenterhasalsobenefitedfromtheacademicsupportofRAFLE(ResearchAcademyforForeignLanguageExaminations),aprofessionalR&D;bodywhichdirectsitseffortstowardsresearchintotheexaminationsofandinstructioninforeignlanguage.DrawingheavilyontheacademicresourcesaccumulatedbyLongreEducationGroupduringitsyearsoftraininginforeignlanguageexaminations,togetherwiththeabundantexperienceofitsexpertR&D;andmanagementteams,RAFLEconductsextensiveacademicactivitiesfromtrackingforeignlanguageexaminations,developingteachingmethodologyandmaterials,trainingandcertifyingteachers,toR&D;ofnewacademicproducts,aswellasassessmentofscoresforoverseasstudies.RAFLE'sgoalistobecometheindustry’sleaderintheacademicresearchonforeignlanguageexaminationswhileprovidingfullsupportforLongreTrainingCenterinitsacademicactivitiesinvolvingteachingandresearchonforeignlanguageexaminations.在教学效果上，朗阁培训中心凭借25人小班授课、中外名师联合教学、专业保分承诺、个性化学习方案设计等先进的教学理念和鲜明的教学特色在行业内遥遥领先。朗阁培训中心，还在国内率先通过SGS（国际三大认证机构）ISO9001质量管理体系认证。在教学研发、教学服务、教学标准等方面，已经当之无愧地成为了教育培训行业的标志性典范。LongreTrainingCenterhaskeptitsleadingpositionintheindustrybyofferingdistinctqualitiessuchasamaximumof25studentsperclass,Chineseandforeignteachers,professionalguaranteeofachievement,andindividualizedstudyprogramdesign.TheCenterhasa90%passrateforIELTS,ToefliBTandoraltests,whichfarexceedsourcompetitors.LongreTrainingCenterwasthefirstprivatelanguagetraininginstituteinthecountrytopasstheISO9001accreditationawardedbySGS(oneoftheworld’s3largestcertificationcompanies).LongreTrainingCenterhasbecometheepitomeofsuccessinthelanguagetrainingindustryspanningteaching,researchandservice.欧风培训中心，朗阁教育旗下专业小语种培训机构，是国内的专业小语种培训基地之一。自2004年成立以来，一直致力于提供专业的欧洲语系（法、德、西、意）语言培训服务。截止到目前为止，欧风培训中心已在上海、南京、苏州、济南、常州、青岛、成都、无锡、杭州、广州、武汉、宁波、南昌、厦门等中国一二线城市拥有30多所独立校区。十载以来，青岛朗阁――欧风，始终倾力为中国的语言学习者奉献纯正的语言培训。欢迎访问：英语培训：http://www.longre.com（集团网站）；http://www.qdlongre.com（青岛分站）小语种培训：http://www.opfun.com（总站）；http://www.qdopfun.com（青岛分站）|公司地址：青岛市市南区闽江路2号（国华大厦B座29楼）(邮编：266071)
设计师（海外留学经验）|本科招聘若干人06-26发布英语熟练五险一金专业培训出国机会绩效奖金弹性工作节日福利|赫基国际集团－ochirly事业部|广州-天河区||06-26|外资（欧美）  |  1000-5000人  |  服装/纺织/皮革|赫基国际集团1999年成立，目前旗下拥有9大时尚品牌，包括国内知名女装品牌ochirly、fiveplus、covengarden、男装品牌trendiano、童装品牌ochirlykids及意大利sixty时尚集团女装品牌misssixty、killah及男装品牌energie。2011年本集团与lvmh集团旗下l’capital成为投资合作伙伴。随后集团携手全球最具权威的商品概念圣殿10corsocomo在上海开设大中华区首家商品概念旗舰店。目前赫基国际集团旗下的销售门店遍布中国及亚洲其他国家，涵盖直营、特许及加盟等全方位销售渠道。此外，赫基国际集团积极拓展旗下品牌在电子商务平台上的业务，以迎合快速发展的消费者需求。赫基国际集团始终坚持将“满足消费者需求”作为其最重要的使命，并致力于为消费者打造充满时尚品味与艺术气息的品牌。希望通过赫基国际集团的行动以及其对品牌精神的诠释向大众传达快乐且充满自信的生活理念。自2011年起，随着赫基国际集团中国区业务根基的逐步稳固，集团开始深化多元化的发展战略，并且成绩斐然。集团收购并负责运营意大利sixty时尚集团亚太地区14个国家和地区的全盘业务。同年，法国奢侈品巨头lvmh集团旗下的投资基金lcapitalasia看重赫基国际集团的长远发展潜力，注资2亿美元与集团达成战略合作。lcapitalasia对赫基国际集团的投资刷新了其在亚洲时尚领域近五年来的投资纪录。2012年赫基国际集团与来自意大利米兰同时也是全球最具权威性的前沿时尚、设计、艺术的10corsocomo联手布局大中华区风尚版图。双方在2013年九月上海共同打造的大中华区首家10corsocomo旗舰店，为上海以及来自世界各地的消费者带来与众不同的风尚精品系列，展现国际化的精致生活理念，提供复合式风尚的创意平台。赫基国际集团不但重视其各项业务的扩展，同时也致力于为员工营造全方位的发展空间。集团始终坚持为员工提供时尚、健康、快乐的工作环境，让每位员工享受工作、享受时尚、享受生活。企业引导员工关注风尚产业、了解品牌运作，鼓励员工培养积极向上的生活态度和良好的团队合作精神。与此同时，赫基国际集团也将通过各种有意义的艺术活动，展现企业社会责任，希望借此进一步扩展在时尚和艺术领域的影响力，为社会的发展贡献企业的一份力量。未来，赫基国际集团将继续秉持一贯的发展愿景，以艺术及商业的完美结合来引领集团向更国际化和多元化的发展方向，立足大中华区，逐步走向亚洲、走向全球。集团官网：http://www.trendy-global.com/ochirly官网：http://ochirly.trendy-global.com/fiveplus官网：http://fiveplus.trendy-global.com/trendiano官网：http://trendiano.trendy-global.com/CovenGarden官网：http://www.covengarden.com/cn2014中国***100人力资源典范企业2014中国***一线员工管理实践典范2013广州***雇主三十强2013中国***人力资源管理团队典范2013年度中国***100人力资源典范企业2012年度中国***100人力资源典范企业、***员工关系管理典范2011年度中国***人力资源典范企业、***人力资源战略典范2010年度中国***人力资源典范企业2009年中国***人力资源典范企业百强、***人气雇主2008年中国***人力资源典范企业百强、最适合女性工作场所典范2007年cctv年度雇主调查广州十强|公司地址：广州市天河北林和中路8号海航大厦17楼(邮编：510000)
海外销售助理|2Äê¾­Ñé´ó×¨ÕÐÆ¸1ÈË06-26·¢²¼Ó¢ÓïÒ»°ãÎåÏÕÒ»½ðÃâ·Ñ°à³µ²ÍÒû²¹Ìù¼¨Ð§½±½ðÄêÖÕ½±½ð¶¨ÆÚÌå¼ì|武汉华日精密激光有限责任公司|武汉|3-4.5千/月|06-26|国企  |  50-150人  |  仪器仪表/工业自动化|华日精密激光有限责任公司是一家专业的固体激光器制造商，是华工科技（股票号码：000988）核心控股子公司。由美国激光行业从业十余载的物理学博士于2009年创立，专业从事全固态激光器的研发和制造。华日全系列激光器产品均具备自主知识产权，经过与国际顶尖器件供应商的紧密合作以及持续的制程优化与创新，能实现高可靠产品的批量交付。华日公司致力于为用户提供高品质产品与专业化服务。公司通过iso9001质量控制体系认证，产品通过欧盟ce质量安全认证，完全满足严苛条件下的工业加工要求，是超精细加工领域的理想光源。优质的产品和服务保障，让用户的投资更加保值。自成立以来，公司立足自主创新，开发出数十款拥有完全知识产权的固体激光器，各项技术居国内领先、国际先进水平。公司已顺利通过了iso9001质量管理体系、ce认证，产品远销美国，欧洲，日本，韩国，华日已经是行业内知名品牌。目前公司处于一个高速发展的时期，是国内首家能够与国际***一流企业进行合作的企业，销售额每年以70%的速度递增，海外业绩增长迅速。新厂房即将交付投产，届时，华日公司将会成为亚洲最大的固体激光器公司。华日始终坚持“人力资源为公司第一资源”的理念，将人才视为企业发展的战略性资源。公司立足于培养懂技术的职业经理人，懂管理的技术专家，通过搭建良好的事业平台，吸引有志之士加盟；公司在营造良好管理环境的同时，积极开展后继教育和职业培训，建立完善的激励机制和竞争机制,为员工提供广阔的发展平台。    在考虑区域因素的前提下，公司整体薪资水平在同地区同行业具有竞争力，以保证对各类人才的吸引力。    薪资分配遵循以岗定薪，能岗匹配的原则。实行岗位工资制，依据岗位特点和员工技能水平，结合员工所在岗位在公司的相对价值，确定员工薪资水平。    根据各岗位的职能特点，将全公司所有岗位划分为5个序列，分别是管理类、专业类、技术类、销售类、作业类。实行双轨晋升制，即员工可以在不同岗位序列中任不同职级，薪级就高不就低。    员工薪资＝职级薪资（基本薪资和绩效薪资）＋工龄薪资＋津贴＋补贴    津贴：职务津贴、技能津贴、特殊岗位津贴等；    补贴：交通补贴、伙食补贴、远城补贴、驻外补贴等；    其他薪资收入：    销售提成激励、研发项目奖励、年终奖励、优秀员工奖励等；    福利：    正式员工办理五险一金；    根据岗位享受通讯补贴和车辆油贴；    通达武汉市内各主干路线的通勤班车；    年度旅游、春季免费体检项目；    国家法定节日福利；    员工生日、结婚、生育等工会福利；    丰富多彩的文体活动等。|公司地址：中国湖北省武汉市东湖新技术开发区华中科技大学科技园华工科技激光产业园(邮编：430223)
海外房产投资顾问|1Äê¾­Ñé´ó×¨ÕÐÆ¸5ÈË06-26·¢²¼ÎåÏÕÒ»½ð²¹³äÒ½ÁÆ±£ÏÕÔ±¹¤ÂÃÓÎÄêÖÕ½±½ð¼¨Ð§½±½ðµ¯ÐÔ¹¤×÷´øÐ½Äê¼Ù½ÚÈÕ¸£Àû×öÎåÐÝ¶þ|上海澳臻因私出入境服务有限公司|上海-杨浦区|0.8-1.5万/月|06-26|民营公司  |  50-150人  |  专业服务(咨询、人力资源、财会)中介服务|公司简介：    澳臻移民是出国移民服务行业内，最权威、专业的咨询机构之一。澳臻移民专家始终坚持锐意进取，诚信诚心，以“做国际教育与出国移民服务的领航者”为发展愿景，以“让更多的中国同胞有机会接触到海外优质的教育资源和宜居生活”为己任，构建了一个涵括移民咨询、职业规划、出国定居、境外服务、海归求职指导、国际教育交流和合作等全方位的国际咨询服务体系。公司优势        资深的专家团队澳臻资深的专家顾问团队由海归精英人才、律师、会计师、财务规规划师、企管师、营销专家及资深移民留学专家所组成，合作方专家团队包括有加拿大前移民律师协会主席、加拿大前移民官、加拿大特许宣誓官、前美移民律师协会投资签证委员会主席、澳洲太平绅士、海内外知名教育专家、企业界精英等权威人士。全球化合作通过在国际领域多年发展，澳臻移民专家成为UIA安信策略投资集团和中国高校管理中心指定的战略合作伙伴，并与美国培生集团和中国教育服务中心建立了长期紧密合作关系，同时澳臻协同合作伙伴为朗文国际、英国国际教育联盟、伦敦发展署、欧洲投资发展委员会、上海信息委员会等权威机构和政府部门提供了多层次、多元化的合作与协助。金融机构支持公司与汇丰银行、美国花旗银行、加拿大皇家银行、蒙特利尔银行、澳洲联邦银行、新加坡星展银行、新加坡华侨银行、香港东亚银行、瑞士银行、苏格兰皇家银行、美国富国银行、韩国韩亚银行、中国银行、农业银行、中信银行、民生银行、UniversalInvestmentAlliance等多家世界著名金融机构紧密合作，为客户提供投资移民融资计划服务。职业发展公司拥有对员工业务能力、销售技巧以及职业素养等多方面的多层次的培训体系。对于优秀员工提供公正、积极的职业发展规划。公司提供富有竞争力的薪酬体系，并提供高于同行业的业绩考核奖励制度，让员工在职业发展和收入水平上都可以获得超过行业水平的机会！|公司地址：上海杨浦区国定路335号2号楼1703-1705室(邮编：200433)
B2B业务员  阿里国际站  海外销售  英语外贸|无工作经验大专招聘2人06-26发布英语熟练商务英语国际商务绩效奖金专业培训节日福利定时外出旅游带薪年假|深圳市佰亿贸易有限公司|深圳-龙华新区|6-8千/月|06-26|民营公司  |  少于50人  |  贸易/进出口互联网/电子商务|深圳市佰亿贸易有限公司成立于2009年，地址：龙华新区龙胜地铁站B出口龙胜综合服务大楼，专注外贸领域的互联网商务科技公司，公司经营和发展多元化的外贸业务。主要平台是阿里巴巴国际站、敦煌网等。经营的品类主要是消费电子类产品（2017火爆产品指尖陀螺，智能、蓝牙系列产品等）。我们拥有一流的产品，远销欧美市场;得到了广泛应用和客户高度认同;我们的理念：杜绝短期行为，可持续发展是我们永恒不变的追求。我们的服务：追求产品零缺陷，帮助客户站稳市场，互惠共赢。我们的员工主要由富有朝气的年轻人组成，各部门团队之间合睦相处。目前公司正在扩大规模,处于一个新的发展阶段，现热忱邀请有能力的人才加入佰亿|公司地址：龙华新区龙胜西路2号龙胜综合服务大楼4楼8401室(邮编：518109)
IS/保险顾问（国内、海外）|招聘1人06-26发布五险一金餐饮补贴通讯补贴交通补贴专业培训绩效奖金出国机会股票期权定期体检|诺远资产管理有限公司|哈尔滨-南岗区|0.8-1万/月|06-26|民营公司  |  150-500人  |  金融/投资/证券|    人才是企业发展之本、竞争之本。诺远资产一直秉承母公司汉富控股的人才理念，视人才为企业第一资源，把依靠人才作为企业发展的根本前提，把尊重人才作为企业发展的根本准则，把推进企业和员工共同发展作为人才战略的根本任务。在人力资源实践活动中，诺远资产善于为各类人才提供充分施展才华的舞台，做到人尽其才，才尽其用。同时，通过各种有效途径，不断提高企业人力资源管理水平和人才的综合素养，促进企业与员工的互相发展，并让员工分享企业发展成果，实现共同发展，共享成功。        育才：结合公司战略发展需求，对员工进行有计划的培训，提高员工基本素质。       选才：德才兼备，内外并重；任人唯贤，公平竞争。       用才：用人不疑，合理授权，人尽其才。       留才：拓展员工发展空间，保障并提升员工利益。        人尽其才，才尽其用        诺远资产秉承以人为本的企业经营理念，坚持用广阔的发展前景凝聚人，用美好的事业目标激励人。通过建立科学有效的人才机制，营造积极良好的人才成长环境，致力于为每一位员工提供一个充分施展才华的舞台，并通过不断创造个人的发展机会，让各类人才都拥有获取成功、实现自我价值的机遇和平台。        在用人上，诺远资产坚持尊重人才、尊重创造的理念，不唯学历重能力，不唯文凭重水平，用人看业绩，看能力，看潜力。通过建立公平的竞争机制和良好的文化环境，充分调动每一位员工的积极性、主动性和创造性，让员工爱其职而尽其能，做到人适其事，事适其人，人尽其才，才尽其用。|公司地址：哈尔滨市南岗区长江路189号(邮编：150000)
海外拓展专员|大专招聘2人06-26发布英语良好周末双休带薪年假五险一金专业培训节日福利绩效奖金|深圳市鹏城海物流有限公司|深圳|4.5-6千/月|06-26|民营公司  |  150-500人  |  交通/运输/物流|公司简介：    鹏城海物流有限公司，是一家致力服务于全球航线的专业公司，是国家外经贸部批准成立的一级货运代理企业（牌照号：19328）及国家交通部批准的NVOCC（无船承运人），同时也是在美国FMC备案的NVOCC。主要经营海运、空运进出口货物的国际运输代理业务及内，包括订舱、仓储、中转、集装箱拼箱、拆箱、报关、买单、报验、保险、相关的运输服务及咨询业务。    鹏城海现有员工400多人,以深圳为远东区管理中心,洛杉矶为北美区管理中心,已经在包括中国所有主要港口,西南及中南部地区、香港、泰国、越南、美国、加拿大等全世界范围内设立了自己的17个独资分支机构,以及遍布世界各地的代理网络.我们的服务范围不仅包括以中国为中心的远东地区,还可以延伸到北美,欧洲,澳大利亚,地中海等世界上100多个国家和地区。Background:Establishedin1998,CityOceanLogisticsCo.,Ltdisrecognizedasoneofthemostreliableandcompetitiveinternationalnonvesseloperatingcommoncarriers(“NVOCC”)inChina.Withover400existingstaffs,ShenzhenasitsFarEastmanagementcenterandLosAngelesasitsNorthAmericamanagementcenter,CityOceanLogisticsCo.,Ltdhasestablished17soleownershipbranchofficesatmajorChina'sports,SouthwestChinaandcentralsouthChina,HongKong,Thailand,Vietnam,USA,Canadaandotherplacesaroundtheworldaswellasworldwideagencynetwork.OurservicesextendfromFarEasttoNorth/SouthAmerica,Europe,Australia,Mediterraneanarea,Africaandmorethan100areasandcountries.Asanexpertonmarine,airandinlandtransportationofimported/exportedgoods,cargoinsurance,customclearance,warehousing,distribution,andchartering,CityOceanLogisticsCo.,formsitsspecialconceptsonlogisticsandmakesfulluseofmodernizedelectroniccommercesystemtoprovidetimely,accurate,andvaluableservicestomeetourcustomersdemands.Guidedbythecompany’soperatingfaith,ourstaffskeeppayinggreatattentiononcustomerandmarket.公司网址：http://www.cityocean.com|公司地址：深圳深南大道4019号航天大厦22楼(邮编：518000)
海外客服助理|2年经验大专招聘4人06-26发布英语良好带薪年假五险一金包吃绩效奖金全勤奖节日福利|深圳市中腾国际货运代理有限公司|深圳-宝安区|3-4.5千/月|06-26|民营公司  |  50-150人  |  交通/运输/物流|香港中腾集团有限公司，于2005在美丽的香港成立，次年经深圳市交通局、国家外经贸、工商局批准在机场附近注册成立深圳市中腾国际货运代理有限公司。公司自成立以来，坚持“诚信第一、客户至上”的服务理念，从各方面严格要求服务质量，使公司得到稳步、快速的发展。业务量逐年增加，规模不断壮大，管理日趋规范，网络初步形成，取得了较为显著的经济效益和社会效益。中腾集团并在深圳、香港、广州、上海、伦敦、阿姆斯丹、等地设有分点及分公司，随时为广大客户提供优质的服务！ 中腾集团主要经营香港进出口、国际货运（国际空运、海运、快递）、一般贸易报关清关等业务，在全国范围内为客户提供进出口咨询、方案定制、操作流程、运输方式等一站式的物流解决方案/服务，极大地降低了客户物流成本，在提供“安全、高效、快捷”的物流服务同时，本着以诚信，专注，创新，高效，和谐的核心文化与广大客户和业内同行，共同发展，共同壮大。|公司地址：深圳市宝安区福永街道怀德社区翠岗工业四区A17栋2楼202(邮编：518000)
海外移民顾问|招聘5人06-26发布|北京银裕资产管理有限公司|北京|1-1.5万/月|06-26|民营公司  |  50-150人  |  金融/投资/证券专业服务(咨询、人力资源、财会)|公司简介：     中研投资基金管理（北京）有限公司，简称中研基金，注册资金3000万元，中研基金的前身北京银裕资产管理有限公司。自成立以来，致力于为国内上市企业、机构投资者、高净值客户提供具有行业领先水平的综合性资产管理服务，专注于上市公司流动性基金的机构。      近年来，随着中国财富的增长，配合华人财富的全球配置，中研基金又一次创新性的将财产投资和身份投资相结合，并且推出以美国身份移民为主，兼顾移民前，中，后期的全方位360°的财富管理品类。财产投资主要包括上市公司流动性基金和国内外核心城市不动产基金投资；身份投资主要包括赴美生子―美国出生公民权的取得，EB-5,EB1C,L1等移民身份的取得。“美家宝贝”―美国出生公民权取得这一产品，是由中研基金斥巨资精心打造，月子中心位于洛杉矶***富人区尔湾（Irvine），拥有别墅20几套，公寓50多套，已成为众多赴美妈妈选择的月子中心。“美家宝贝”品牌秉承贴心的台式传统待产方式及精心的月子照护服务，尊重客户隐私，同时为充分保证服务的质量和专业性，美家宝贝采取限额预约，每月固定服务定量客户，让每一位妈妈享受美国高品质孕产护理的月子生活。美家宝贝总部设在北京，上海、深圳、广州、美国尔湾等地设立分公司，业务拓展辐射全中国，同时开展移民、投资、美国房产项目，致力于将美家宝贝打造成全方位的国际知名品牌。专注对妈妈们提供：赴美咨询、美国签证、通关、医院医生、待产和做月子、证件办理、回国后续等赴美配套服务，以及相关海外置业，海外留学，海外移民，海外基金等后续服务。|公司地址：北京市西城区北三环中路甲29号院华龙大厦B座2401(邮编：100000)
海外销售|2年经验大专招聘8人06-26发布英语熟练弹性工作带薪年假五险一金绩效奖金全勤奖节日福利加班补贴专业培训|深圳市骅福瑞科技有限公司|深圳-南山区|1.5-2万/月|06-26|民营公司  |  50-150人  |  通信/电信/网络设备贸易/进出口|  深圳市骅福瑞科技有限公司成立于2010年，位于塘朗金骐智谷大厦，是一家专业从事智能娱乐机器人、智能手机和汽车行驶记录仪电子产品的研制、生产和销售公司。  深圳市骅福瑞科技有限公司有一支年轻充满激情和活力的团队，通过不断的自我创新以及不懈努力，成功推出了具有自主知识产权的高精度音乐跳舞机器人，高中低多款精良安卓系统手机，以及多款高清广角汽车行驶记录仪等产品。  产品质量是企业的生命，深圳市骅福瑞科技有限公司坚持高性能、高品质路线，建立了完善的质量管理体系，对产品进行严格的品质控制，从原材料的采购、生产工艺、QC检测等各方面对产品进行环环管控，确保产品质量. 公司秉承“专业化、高品质、精益求精”的精神，立志以自主科技创新为基石，向各行业客户提供方高品质、高性价比的产品。 我们发挥团队的合作能力，以“技术、创新”为本，以“服务客户”为目标，创建高品质、高性价比的产品，打造“CUBOT”科技的世界品牌。|公司地址：深圳市南山区桃源街道金骐智谷14楼1401、1402房(邮编：518000)
