bosszp_co_web_id|co_short_nm|co_financing_round|co_staff_num|co_type|co_link|co_emply_blank|co_boss_num|co_short_desc
243700|居然元洲装饰|已上市|100-499人|房地产/建筑|http://erp.yz-China.com|14|13|元洲装饰成立于1997年，历经十余年的稳健发展，现已成为集成家居装饰设计，家居体验式卖场于一体的大型家居装饰企业
243701|东方之星|NaN|1000-9999人|金融||1|2|
243702|金色朝阳艺术|NaN|20-99人|教育培训||3|2|
243703|AR呈现平台|NaN|0-20人|数据服务||1|1|
243704|老岳司机之家|NaN|500-999人|供应链/物流||0|1|
243705|维纳斯会所|NaN|100-499人|生活服务||1|6|
243706|大数金融|B轮|500-999人|金融||29|16|1图 大数金融  听语音 大数金融是深圳前海大数金融服务有限公司开发的专业化信贷工厂，专业生产无担保信用贷款，专注于为草根级小微企业提供融资服务，为银行、信托、财富管理公司、私募基金、P2P等机构提供信贷外包服务。由世界风险投资机构“红杉资本”投资创立。 简介  听语音 大数金融，全称深圳前海大数金融服务有限公司，由“红杉资本”投资创立。于2014年8月在深圳前海注册成立，注册及实收资本1.11亿。大数金融，定位于全国性的专业化信贷工厂，为银行、信托、财富管理公司、私募基金、P2P等机构提供全流程或部分流程的信贷外包服务。通过数据化方法和信贷工厂模式，专注于为草根级的小微企业提供无担保纯信用形式的融资服务。 截止2015年3月，大数金融已设立广州、深圳分公司，北京重庆等地也将开设分公司。 运用独特技术，帮助通过传统信贷方式无法获取贷款的小微企业和消费者，获得正规金融机构、价格合理的贷款。
243707|考拉美购|NaN|20-99人|电子商务||0|0|
243708|辽宁驷马|NaN|20-99人|企业服务||1|2|
243709|畅联宽带|NaN|500-999人|移动互联网||1|1|
243710|信奇信息咨询|已上市|100-499人|互联网||7|3|常州市信奇信息咨询有限公司，在保持行业领先的同时， 以联盟的形式发展壮大，向国际化的企业集团财务公司迈进。在此情况下，公司成功建设和运作了“中国建筑人才网”、“建筑精英网”、目前我公司在常州、杭州都设立了办事处，为客户提供专业的服务，为客户创造价值。不断的开拓创新，改变招聘形式，结合自身资源，推出建造师挂靠、兼职、全职、等职务。电话招聘有利改善企业形象，提高招聘效果，目前正值建造师注册之时，企业免费注册成为本网站会员并经审核后，可以完全免费发布职位、查看简历、优先参加各种活动。 新时期、新政策、新机遇，我们将不断的提高品牌价值，吸引优秀资源，完善服务、提高信誉，为建筑业搭建最及时、最便捷、最成功、最具效率的建造师招聘平台！ 因为相信奇迹，让我们相聚在信奇信息咨询有限公司，她落座于沪宁线当中、风景秀丽人杰地灵的城市——常州，距上海和南京各160公里，这里水、陆、空交通方便，是江苏省经济最发达地区之一。在魅力常州的培育下，信奇公司逐渐成长为一家优秀、诚信的专业致力于服务建筑业的猎头机构。
243711|找人|NaN|100-499人|房地产/建筑||0|1|
243712|方天网络|NaN|0-20人|智能硬件||0|1|
243713|信德睿尚|NaN|100-499人|互联网||0|0|
243714|易飞龙|NaN|100-499人|金融||0|0|
243715|信德睿尚|不需要融资|0-20人|咨询/翻译/法律||0|2|我们是您的人力合作伙伴，致力解决您最迫切的人力问题。
243716|T5tea|天使轮|0-20人|移动互联网|http://www.t5tea.com|5|2|
