companyID|companyFullName|companyShortName|companySize|financeStage|industryField|positionID|positionName|jobNature|positionLables|city|education|salary|workYear|firstType|secondType|formatCreatedTime|scrapeTime|description
5918|上海景域文化传播股份有限公司|驴妈妈旅游网|2000人以上|上市公司|电子商务,旅游|3010753|爬虫工程师|全职|高级,中级,Java,分布式,爬虫,python|上海|本科|15k-30k|3-5年|开发/测试/运维类|后端开发|11:56发布|20170417|[\n,岗位职责：,\n,1.负责驴妈妈网站国际机票系统的软件开发和维护工作；,\n,2.负责国际机票爬虫系统的架构设计和核心代码搭建；,\n,3.负责国际机票数据的抓取，处理数据；,\n,4.承接开发任务，确保按时按质按量完成任务；\,\n,5.遵守项目、部门、小组制定的各种研发规范，保证研发过程的持续改进。,\n,\n,岗位要求：,\n,1.熟悉常用的爬虫技术（重要）3年以上相关爬虫经验；,\n,2.熟悉struts、spring、ibatis主流开源框架（重要）；\,\n,3.擅长IP池调度，熟悉B/S开发架构，具有Web平台开发的经验，熟悉MVC设计模式；,\n,4.熟悉多线程、网络编程，精通网页抓取原理及技术，精通正则表达式；能从结构化和非结构化的数据中获取信息；,\n,5.有分布式爬虫架构或处理过反爬虫；,\n,6.熟悉Tomcat等常见应用服务器，具有相关部署、配置经验；\,\n,7.熟练使用Eclipse开发工具，熟悉linux开发平台\；,\n,8.熟悉SQL语言、熟悉MYSQL应用开发（重要）；\,\n,9.熟悉Nosql，了解各种开源框架。,\n\n]
177653|二二一数据有限公司|二二一数据|15-50人|初创型(天使轮)|数据服务|2886450|爬虫工程师|全职|高级,Python,Java,爬虫|上海|本科|10k-20k|3-5年|开发/测试/运维类|后端开发|09:31发布|20170417|[\n,我们在寻找并肩战斗的小伙伴，我们需要你：,\n,\•\各产品的数据抓取需求,\n,•\负责开发公司的爬虫系统。,\n,我们希望你：,\n,技术上：,\n,•\精通python编程,\n,•\熟悉开源的爬虫框架中的至少一种，比如scrapy/pyspider等，相关解析组建pyquery/bs等,\n,•\熟悉常用关系型数据库，比如mysql，以及redis等缓存系统,\n,•\熟悉linux环境编程,\n,•\一年及以上爬虫经验,\n,\n,加分项：,\n,•\有过网站开发经验,\n,•\熟悉一种消息队列，分布式系统，并行调度,\n]
121656|北京原始会投资管理有限公司|原始会投资|50-150人|成长型(不需要融资)|金融,企业服务|2891953|爬虫工程师--急招|全职|后端开发,Java,爬虫,大数据,数据,Python|北京|本科|15k-30k|不限|开发/测试/运维类|后端开发|08:48发布|20170417|[\n,北京原始会投资管理有限公司（http://www.yuanshihui.com/）,\n,\n,岗位职责：,\n,1.负责设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析工作；\,\n,2.负责网页信息和APP数据抽取、清洗、消重等工作，提升平台的抓取效率；,\n,3.参与爬虫核心算法和策略优化，熟悉采集系统的调度策略；,\n,4.实时监控爬虫的进度和警报反馈；,\n,任职要求：,\n,1.熟悉Linux系统，掌握Java、Python、C++等语言；,\n,2.了解多线程、多进程、网络通信编程相关知识，有分布式爬虫架构，数据挖掘经验；\,\n,3.掌握网页抓取原理及技术，了解基于Cookie的登录原理，熟悉基于正则表达式、XPath、CSS等网页信息抽取技术；,\n,4.熟悉APP模拟及接口验签破解技术，了解APP用户授权访问机制，掌握Selenium，APP破解技术优先；,\n,5.做过数据处理、ETL等相关工作优先。,\n\n]
143587|杭州拓道互联网金融服务有限公司|拓道金服|500-2000人|成长型(A轮)|移动互联网,金融|2903909|高级开发工程师(爬虫方向)|全职|数据挖掘,Java,视频,算法,爬虫,python|杭州|本科|15k-25k|5-10年|开发/测试/运维类|数据开发|3天前发布|20170417|[\n,职位描述：,\n,1、负责设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析；,\n,\n,2、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；,\n,\n,3、主导爬虫核心算法的设计和优化；,\n,\n,4、实现大规模文本、图像、视频数据的抓取及数据清洗工作,\n,\n,5、能独立解决实际开发过程碰到的各类问题；,\n,\n,\n,\n,岗位要求:,\n,1、5年以上工作经验，具有2年以上实际爬虫开发、内容提取工作经验；,\n,\n,2、精通信息抓取和整合技术，从结构化的和非结构化的数据中获取信息；,\n,\n,3、精通和使用java或Python或Golang，熟练使用mysql,redis,mongdb三者至少之一；,\n,\n,4、掌握多种解析工具Jsoup、Xpath、Beautifulsoup、htmlparser、正则，有Nutch，Heritrix，jsoup抓取经验或者分布式抓取经验者优先；\,\n,\n,5、熟练掌握网络编程与多线程编程，对TCP/IP/HTTP等协议了解比较深入,\n,\n,6、认真严谨，喜欢钻研，有责任心，良好的团队合作精神，积极上进，具备良好的学习能力,\n\n]
14229|上海晖硕信息科技有限公司|微盟|2000人以上|成熟型(C轮)|移动互联网,电子商务|2954014|爬虫工程师|全职|后端开发,Java,爬虫,安全,解决方案,架构|上海|本科|15k-20k|1-3年|开发/测试/运维类|后端开发|16:19发布|20170417|[\n,-负责微盟新资讯类app的爬虫以及相关模块架构设计、开发,\n,-调研技术实现方案，提出技术研究及可行性报告，并应用于产品实现,\n,-结合需求设计高扩展性、高性能、安全、稳定、可靠的技术系统,\n,-解决各类技术疑难问题，包括网络问题、app分析、反编译等，形成良好的研发氛围，提升团队整体技术水平,\n,\,\n,\,\n,任职要求：,\n,-本科或以上学历，计算机软件或相关专业,\n,-两年及以上爬虫项目开发经验；熟悉爬虫开发模式、业界解决方案、反爬虫应对方案,\n,-两年及以上Python或Java开发经验,\n,-熟悉多线程及高性能的设计与编码及性能调优，精通Internet基本协议（如TCP/IP、HTTP等）内容及相关应用,\n,-熟悉敏捷开发过程，对技术前沿与发展方向的敏锐洞察力，对卓越代码和优秀结构的强烈追求,\n,-具备分析问题和解决问题的能力，有强烈的责任心,\n,-熟悉Linux日常工作环境，熟练掌握常用命令和调优监控手段，有Linux自动化部署经验更加,\n,-有互联网从业经验更佳,\n\n]
129801|北京言之有物科技有限公司|言之有物科技|50-150人|成长型(A轮)|移动互联网,电子商务|3004135|爬虫工程师|全职|高级,后端开发,数据分析,Python,架构,征信|北京|本科|15k-30k|1-3年|开发/测试/运维类|后端开发|10:43发布|20170417|[\n,岗位职责：,\n,1、负责公司数据采集系统开发及维护工作。,\n,2、负责网页信息抽取研发和优化工作，,\n,3、负责网络爬虫的技术研究和开发，,\n,4、设计爬虫策略和防屏蔽规则，,\n,5、分析爬虫系统缺陷，优化爬虫系统，,\n,6、参与核心爬虫系统架构设计.数据库设计。,\n,\n,任职要求：,\n,1、1.统招本科及以上学历，计算机专业；985\211院校优先；,\n,2、熟悉网络抓取的原理、相关技术，有爬虫经验工作经验者优先；,\n,3、两年以上Java开发经验，有互联网开发背景，熟悉html/js/css技术；,\n,4、熟悉selenium、htmlunit等自动化框架，能够抓取动态生成的数据。,\n,5、熟悉Linux/Unix等操作系统，有java开发经验优先。,\n,6、工作认真细致，学习能力强，,\n,7、在github上有star的项目优先。,\n\n]
129068|北京阿博茨科技有限公司|阿博茨科技|50-150人|成长型(A轮)|移动互联网|2940820|爬虫工程师|全职|Java,C/C++,linux,Python|北京|本科|15K-30K|3-5年|开发/测试/运维类|后端开发|13:47发布|20170417|[\n,岗位职责：,\n,1、参与爬虫系统的架构设计与开发；,\n,2、具有实际爬虫开发、内容提取工作经验2年以上；,\n,3、负责设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析；,\n,4、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；,\n,5、能独立解决实际开发过程碰到的各类问题；,\n,6、参与搜索引擎及个性化推荐项目的开发。,\n,\n,任职要求,\n,1、熟悉linux平台开发，3年以上Java、python或C/C++开发经验；,\n,2、精通信息抓取和整合技术，从结构化的和非结构化的数据中获取信息；,\n,3、熟悉Mysql，redis，mongdb三者至少之一，有过数据库调优和海量数据存储经验优先；,\n,4、具有搜索相关技术研发经验者优先；,\n,5、具有数据挖掘、自然语言处理、信息检索、机器学习背景者优先；,\n,6、有nutch，heritrix抓取经验或者分布式抓取经验者优先；,\n,7、熟悉搜索引擎和个性化推荐相关技术，精通主流分词算法、分类、提取摘要、大规模网页聚类、索引、检索等相关开发经验者优先。,\n,\n]
34683|上海秦苍信息科技有限公司|买单侠|2000人以上|成熟型(D轮及以上)|移动互联网、金融|2880147|架构师（爬虫系统）Spider|全职|资深,架构师,分布式,算法,爬虫|南京|本科|18k-28k|5-10年|开发/测试/运维类|软件开发|2017-04-05|20170417|[\n,\,\n,一、岗位职责：,\n,1、实时网站登录及网页抓取；,\n,2、数据智能抽取、校对；,\n,3、设计爬取策略，提升抓取系统的效率与质量；,\n,4、抓取及抽取系统的新技术研究；,\n,5、爬虫监控系统设计与开发。,\n,\,\n,二、任职要求,\n,1、3年以上爬虫相关项目开发经验；,\n,2、扎实的数据结构及算法基础；,\n,3、熟练掌握java,python中的至少一种；,\n,4、深入了解Http协议和web登录认证机制；,\n,5、分布式系统架构经验；,\n,6、熟悉搜索引擎和网络爬虫相关架构及技术；,\n,7、熟悉html,DOM,xpath，正则表达式；,\n,8、熟悉自然语言处理，信息抽取优先考虑。,\n\n]
51881|浙江小融网络科技股份有限公司|浙江小融网络科技股份有限公司|50-150人|成长型(A轮)|金融|2794836|爬虫工程师|全职|中级,数据分析,爬虫|杭州|大专|15k-25k|1-3年|开发/测试/运维类|数据开发|3天前发布|20170417|[\n,岗位职责：,\n,1.主导分布式爬虫和数据采集系统的架构设计和开发；,\n,2.参与分布式爬虫模块服务架构和数据存储架构的设计和研发；,\n,3.解决规模增长带来的技术和业务问题，确保提供高可靠数据服务,保证系统稳定、高效运行；,\n,4.日常需求开发。,\n,\n,任职要求：,\n,1.\3年以上爬虫相关项目开发经验,2.\熟练掌握java语言；,3.\深入了解Http协议\和\web登录认证机制；,4.\熟悉Heritrix、Nutch等主流爬虫技术。,5.\了解Hadoop(HDFS/MapReduce/Hive)、Hbase等分布式框架者优先；\,\n\n]
40092|微额速达(上海)金融信息服务有限公司|现金巴士|150-500人|成长型(B轮)|移动互联网,金融|2214452|爬虫工程师|全职|爬虫,前端开发|上海|大专|15k-20k|1-3年|技术|前端开发/移动开发|11:23发布|20170417|[\n,我们需要您：,\n,1.负责设计和开发分布式的网络爬虫，参与各种核心搜索策略、算法、数据聚类、重组的设计与开发；,\n,2.负责网页信息抽取技术算法的研究和开发，提升网页抓取的效率和质量；,\n,3.计算机软件及相关专业有2年以上的爬虫程序设计开发经验；,\n,4．拥有分布式爬虫、垂直网站抓取经验优先；,\n,\,\n,我们希望您：,\n,1.2年以上JAVA开发的经验；有多线程开发经验；,\n,2.熟悉整个爬虫的设计及实现流程，有从事网络爬虫,网页信息抽取开发经验；,\n,3.熟悉nutch,httpclient,jsoup等工具；,\n,4.熟悉http,xml,json,soap协议；,\n,5.熟悉网页抓取/解析,网页消重,统计分析等研发经验；,\n,6.有分布式,电商垂直领域爬虫开发经验优先；,\n,7.对开源项目有较好的跟踪和关注，如果对一些开源的做海量数据处理的项目有经验者会优先考虑。,\n\n]
