co_id|co_nm|co_ownership|co_ee_size|co_link|co_industry|co_add|co_desc
465338519|安立通讯科技(上海)有限公司|||http://www.anritsu.com|通信/电信运营、增值服务|上海市徐汇区桂平路391号新漕河泾国际商务中心A座27楼|
157359810|上海易声通信技术发展有限公司|||http://www.esun21.com|通信/电信运营、增值服务,计算机硬件,IT服务(系统/数据/维护)|上海市闸北区恒丰路1号创智联合大厦18楼|
197398817|上海财安金融服务集团股份有限公司|||http://www.in-rich.com/|基金/证券/期货/投资|上海市虹口区邯郸路43号中观产业园8楼|
172693813|上海励沛信息技术有限公司|||http://www.lipei-it.com|IT服务(系统/数据/维护),计算机硬件,通信/电信运营、增值服务,互联网/电子商务|长宁区中山西路930号云都虹桥大厦10楼B座|
370404089|上海层峰网络科技有限公司|||http://www.zenlayer.com|IT服务(系统/数据/维护),通信/电信运营、增值服务,通信/电信/网络设备|上海市上海市闸北区江场三路58号10号楼7楼|公司介绍: Zenlayer是一个基于SDN的全球网络及服务提供商，总部位于洛杉矶，在北京、上海及香港均设有分公司。企业通过其平台部署及管理全球的IT资源，快速实现业务的全球化。Zenlayer在全球SDN网络的基础上，提供NetworkasaService(网络即服务)产品，其革命性的特点包括：软件定义避免人工干预、即时开通即买即用、全球覆盖及运营商中立等。同时，Zenlayer还是资深的全球数据中心服务提供商，团队数名核心成员在数据中心领域拥有超过10年的专业经验。通过数年累积，在全球运营的数据中心已经超过60个，构建了覆盖北美、南美、欧洲、东南亚、中东和非洲等地区的世界级数据中心系统。 公司网站  公司电话 021-61396959 公司传真 61396961 公司地址 上海市闸北区江场三路58栋10号7楼701 乘车路线 乘坐地铁1号线到汶水路，换成公交4路或步行15分钟即可到达。 中国联系人邮箱：
378606386|上海云朴信息科技有限公司||||上海市徐汇区柳州路399号恒地仓国际大厦||
461529332|上海柏涛建筑设计有限公司||||上海市崇明县长江农场长江大街161号2幢3633室（上海长江经济园区）||
120477843|上海合胜计算机科技股份有限公司|||http://www.mvs.com.cn|其他,IT服务(系统/数据/维护)|上海市长宁区协和路787号A楼北幢|   诚敬创新，合作共赢-----企业文化；我们致力于成为中国一流的信息技术服务企业.------企业愿景。    上海合胜计算机科技股份有限公司成立10年来为100多家国内外知名企业提供高性价比的软件开发、集成服务、外包服务的信息化整体服务解决方案，是一家以上海为龙头，在北京、广州、成都、深圳、苏州、杭州等地设有分公司，服务范围覆盖全国的高科技企业。    我们先后通过了ISO9001：2000质量管理体系认证、高新技术企业、计算机系统集成三级认证、双软企业等国家级资质认证，获得了上海最具活力科技企业、长宁区科技小巨人、上海名牌企业等荣誉，在金融行业系统集中监控解决方案，商业零售解决方案，第四方物流管理平台等方面拥有10多项著作权和专利，以极具竞争力的IT综合服务及支持能力、客户第一的服务理念为客户创造价值。   “以人为本”是我们的核心价值观，我们员工人数近700，其中工程师占80%，我们关心员工的发展、重视员工利益,为员工营造稳定、和谐的工作环境、培训机会和职业发展空间，视人才为公司发展的最主要的财富。    经过多年发展,我们已经拥有了一支经验丰富，富有创意、充满热情、协作敬业的团队。伴随着合胜的迅速成长与高迅发展，我们期待更多英才能够加盟我们的团队，共同创造辉煌的远景。    我们的客户包括：IBM、SONY、Intel、松下、中国移动、信达资产、上海证券、太平洋保险集团、交通银行、上海电气、Yum、上海机场集团、LVMH、Gucci等国内外知名企业、集团公司。     请加入合胜！给你的成长带来广阔的空间，加入合胜！和我们一起发展，一起实现梦想！          Together,wearethebest!      公司网址：http:// ，我们期待您的加入！                                                                                                                                                                                       
000418162|上海雨人软件技术开发有限公司|||http://http：//www.nebuinfo.com|计算机软件,IT服务(系统/数据/维护),计算机硬件|上海市普陀区中江路879号天地软件园10号楼2楼|
167709119|上海华浪计算机科技有限公司|||http://www.hualang-it.com.cn|计算机软件,IT服务(系统/数据/维护),基金/证券/期货/投资|上海市徐汇区常熟路165号103乙|
