job_nm|month_pay|job_loc|co_id|co_nm|co_ownership|co_ee_size|co_link|co_industry|co_add|co_desc
出境,操作|6001-8000|北京|CC369390388|北京世桥国际文化交流中心|['事业单位']|['20-99人']|['http://www.shiqiaoguoji.com']|['教育/培训/院校,旅游/度假,娱乐/体育/休闲,物流/仓储']|['朝阳区延静西里2号1号楼1410C室']|[<Element div at 0x107692688>]
房产销售经理/,理财|8001-10000|北京-东城区|CC623755429|北美房产投资集团|['股份制企业']|['20-99人']|[]|['东城区朝阳门北大街2号港澳中心写字楼5层']|[]|[<Element div at 0x107692c28>]
JAVA技术经理(有,项目)|15000-25000|北京-朝阳区|CC366307621|北京聚思信息咨询有限公司|['民营']|['20-99人']|[]|['北京市朝阳区东四环中路60号远洋国际中心C座801']|[]|[<Element div at 0x1076ac638>]
咨询顾问|15001-20000|北京-海淀区|CC120666677|北京冠群信息技术股份有限公司|['股份制企业']|['100-499人']|[]|['北京市海淀区学院南路55号中软大厦A座3层']|[]|[<Element div at 0x1076ac7c8>]
经纪人|4001-6000|北京-朝阳区|CC671108027|北京东方宾利文化传媒有限公司|['上市公司']|['100-499人']|['http://www.chinamodels.com.cn/']|['媒体/出版/影视/文化传播']|['北京市朝阳区新东路40号耀莱中心B座5层']|[<Element div at 0x1076ac638>]
税务专员-2727|6001-8000|北京-朝阳区|CC372480713|完美世界(北京)软件有限公司|['外商独资']|['1000-9999人']|['http://www.wanmei.com/']|['计算机软件,互联网/电子商务,网络游戏,其他']|['北京市朝阳区北苑路86号嘉铭桐城306号楼']|[<Element div at 0x1076aca98>]
区域销售总监|20001-30000|北京-朝阳区|CC333342431|猎鹰全球国际电子商务有限公司|['民营']|['100-499人']|['http://www.raymondgroups.com']|['互联网/电子商务,贸易/进出口,大型设备/机电设备/重工业']|['北京市朝阳区红军营南路15号瑞普大厦B座307a室']|[<Element div at 0x1076ac638>]
市场经理|20001-30000|北京|CC333342431|猎鹰全球国际电子商务有限公司|['民营']|['100-499人']|['http://www.raymondgroups.com']|['互联网/电子商务,贸易/进出口,大型设备/机电设备/重工业']|['北京市朝阳区红军营南路15号瑞普大厦B座307a室']|[<Element div at 0x1076ac818>]
大区经理（亚洲/非洲/中东/南美）|15001-20000|北京-朝阳区|CC333342431|猎鹰全球国际电子商务有限公司|['民营']|['100-499人']|['http://www.raymondgroups.com']|['互联网/电子商务,贸易/进出口,大型设备/机电设备/重工业']|['北京市朝阳区红军营南路15号瑞普大厦B座307a室']|[<Element div at 0x1076a8228>]
客户执行AE|6001-8000|北京|CC706611022|北京尚易博国际教育科技有限公司|['外商独资']|['20-99人']|[]|['北京市朝阳区东大桥路SOHO尚都']|[]|[<Element div at 0x107692ea8>]
销售经理|10000-20000|北京|CC322275433|北京易联汇能网络股份有限公司|['股份制企业']|['20-99人']|[]|['北京市朝阳区惠河南街南岸一号仁安门里21号楼105']|[]|[<Element div at 0x1076a8098>]
名人项目    公关总监 |20001-30000|北京|CZ761440370|北京亿恒咨询有限公司|['合资']|['20-99人']|['http://www.glorytrade.hk/']|['互联网/电子商务']|['合生麒麟社']|[<Element div at 0x1076ac598>]
