job_nm|month_pay|job_loc|co_id|co_nm|co_ownership|co_ee_size|co_link|co_industry|co_add|co_desc
客户主任/销售工程师（, Wireless team-SH）|8001-10000|上海-徐汇区|CC465338519|安立通讯科技(上海)有限公司|[]|[]|['http://www.anritsu.com']|['通信/电信运营、增值服务']|['上海市徐汇区桂平路391号新漕河泾国际商务中心A座27楼']|[]
IT运维专员|5000-10000|上海-虹口区|CC197398817|上海财安金融服务集团股份有限公司|[]|[]|['http://www.in-rich.com/']|['基金/证券/期货/投资']|['上海市虹口区邯郸路43号中观产业园8楼']|[]
语音工程师|8000-12000|上海|CC120477843|上海合胜计算机科技股份有限公司|[]|[]|['http://www.mvs.com.cn']|['其他,IT服务(系统/数据/维护)']|['上海市长宁区协和路787号A楼北幢']|['\xa0\xa0\xa0诚敬创新，合作共赢-----企业文化；我们致力于成为中国一流的信息技术服务企业.------企业愿景。','\xa0\xa0\xa0上海合胜计算机科技股份有限公司成立10年来为100多家国内外知名企业提供高性价比的软件开发、集成服务、外包服务的信息化整体服务解决方案，是一家以上海为龙头，在北京、广州、成都、深圳、苏州、杭州等地设有分公司，服务范围覆盖全国的高科技企业。','\xa0\xa0\xa0我们先后通过了ISO9001：2000质量管理体系认证、高新技术企业、计算机系统集成三级认证、双软企业等国家级资质认证，获得了上海最具活力科技企业、长宁区科技小巨人、上海名牌企业等荣誉，在金融行业系统集中监控解决方案，商业零售解决方案，第四方物流管理平台等方面拥有10多项著作权和专利，以极具竞争力的IT综合服务及支持能力、客户第一的服务理念为客户创造价值。','\xa0\xa0“以人为本”是我们的核心价值观，我们员工人数近700，其中工程师占80%，我们关心员工的发展、重视员工利益,为员工营造稳定、和谐的工作环境、培训机会和职业发展空间，视人才为公司发展的最主要的财富。','\xa0\xa0\xa0经过多年发展,我们已经拥有了一支经验丰富，富有创意、充满热情、协作敬业的团队。伴随着合胜的迅速成长与高迅发展，我们期待更多英才能够加盟我们的团队，共同创造辉煌的远景。','\xa0\xa0\xa0我们的客户包括：IBM、SONY、Intel、松下、中国移动、信达资产、上海证券、太平洋保险集团、交通银行、上海电气、Yum、上海机场集团、LVMH、Gucci等国内外知名企业、集团公司。\xa0','\xa0\xa0\xa0请加入合胜！给你的成长带来广阔的空间，加入合胜！和我们一起发展，一起实现梦想！\xa0','\xa0\xa0\xa0\xa0','\xa0\xa0\xa0Together,wearethebest!','\xa0','\xa0\xa0\xa0公司网址：http://','，我们期待您的加入！\xa0','\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0']
IT工程师|8001-10000|上海-徐汇区|CC461529332|上海柏涛建筑设计有限公司|[]|[]|[]|['上海市崇明县长江农场长江大街161号2幢3633室（上海长江经济园区）']|[]|[]
数据通信工程师|4001-6000|上海|CC378606386|上海云朴信息科技有限公司|[]|[]|[]|['上海市徐汇区柳州路399号恒地仓国际大厦']|[]|[]
网络工程师|8000-12000|上海-徐汇区|CC378606386|上海云朴信息科技有限公司|[]|[]|[]|['上海市徐汇区柳州路399号恒地仓国际大厦']|[]|[]
技术支持工程师|8001-10000|上海|CC370404089|上海层峰网络科技有限公司|[]|[]|['http://www.zenlayer.com']|['IT服务(系统/数据/维护),通信/电信运营、增值服务,通信/电信/网络设备']|['上海市上海市闸北区江场三路58号10号楼7楼']|['公司介绍:','Zenlayer是一个基于SDN的全球网络及服务提供商，总部位于洛杉矶，在北京、上海及香港均设有分公司。企业通过其平台部署及管理全球的IT资源，快速实现业务的全球化。Zenlayer在全球SDN网络的基础上，提供NetworkasaService(网络即服务)产品，其革命性的特点包括：软件定义避免人工干预、即时开通即买即用、全球覆盖及运营商中立等。同时，Zenlayer还是资深的全球数据中心服务提供商，团队数名核心成员在数据中心领域拥有超过10年的专业经验。通过数年累积，在全球运营的数据中心已经超过60个，构建了覆盖北美、南美、欧洲、东南亚、中东和非洲等地区的世界级数据中心系统。','公司网站\xa0','公司电话\xa0021-61396959','公司传真\xa061396961','公司地址\xa0上海市闸北区江场三路58栋10号7楼701','乘车路线\xa0乘坐地铁1号线到汶水路，换成公交4路或步行15分钟即可到达。','中国联系人邮箱：']
系统集成工程师|8001-10000|上海|CC172693813|上海励沛信息技术有限公司|[]|[]|['http://www.lipei-it.com']|['IT服务(系统/数据/维护),计算机硬件,通信/电信运营、增值服务,互联网/电子商务']|['长宁区中山西路930号云都虹桥大厦10楼B座']|[]
SDN开发工程师|6000-10000|上海|CC157359810|上海易声通信技术发展有限公司|[]|[]|['http://www.esun21.com']|['通信/电信运营、增值服务,计算机硬件,IT服务(系统/数据/维护)']|['上海市闸北区恒丰路1号创智联合大厦18楼']|[]
售前技术支持|5000-10000|上海|CC157359810|上海易声通信技术发展有限公司|[]|[]|['http://www.esun21.com']|['通信/电信运营、增值服务,计算机硬件,IT服务(系统/数据/维护)']|['上海市闸北区恒丰路1号创智联合大厦18楼']|[]
高级网络工程师|15001-20000|上海|CC524500221|上海即富信息技术服务有限公司|[]|[]|['http://www.jfpal.com/']|['互联网/电子商务,银行,基金/证券/期货/投资,租赁服务']|['上海市浦东新区金科路2555号（中国芯科技园）C栋']|[]
系统工程师|7000-12000|上海-徐汇区|CC133924040|上海文广科技(集团)有限公司|[]|[]|[]|['上海市徐汇区宜山路757号4楼']|[]|[]
网络运维工程师|6001-8000|上海|CC167709119|上海华浪计算机科技有限公司|[]|[]|['http://www.hualang-it.com.cn']|['计算机软件,IT服务(系统/数据/维护),基金/证券/期货/投资']|['上海市徐汇区常熟路165号103乙']|[]
高级技术支持工程师|8000-15000|上海|CC000418162|上海雨人软件技术开发有限公司|[]|[]|['http://http：//www.nebuinfo.com']|['计算机软件,IT服务(系统/数据/维护),计算机硬件']|['上海市普陀区中江路879号天地软件园10号楼2楼']|[]
驻场网络工程师|6001-8000|上海-浦东新区|CC263073182|建投数据科技股份有限公司|[]|[]|['http://www.jicdata.com/']|['IT服务(系统/数据/维护),计算机软件']|['北京市海淀区中关村南大街甲56号方圆大厦8层']|[]
产品工程师-华为IT、IP-上海|8001-10000|上海|CC143900599|中建材信息技术股份有限公司|[]|[]|['http://www.cnbmtech.com/']|['计算机硬件,通信/电信运营、增值服务,医疗设备/器械,通信/电信/网络设备']|['北京市海淀区首体南路9#主语商务中心4号楼18层1801']|['\xa0','中建材信息技术股份有限公司','成立于2005年，是中建材集团进出口公司控股的股份制高新技术企业。中建材信息总部位于北京，在广州、上海、成都、沈阳、西安、武汉、南京、深圳、长沙、郑州等三十多个省市设有分支机构，员工人数约500人，年营业额约60亿元人民币。','\xa0','中建材信息技术股份有限公司致力于向行业客户提供安全、可靠、高质量、易扩展的行业解决方案，帮助客户实现信息化管理最佳实践，以满足客户信息化建设不同需求；为合作伙伴提供专业、高效、创新性的渠道增值服务，协助合作伙伴巩固核心竞争力，快速开拓市场，积极应对市场变化。','\xa0','成为中国IT分销业的生力军和提供现代商业运作技术服务的综合服务提供商。','\xa0','关注业界先进的技术和产品，以卓越的经营理念和服务，为客户创造更大的价值。','\xa0','1.持续拓展和强化大市场、大商品、大客户、大品牌的战略合作。','2.关注重点产品、重点市场，创造独特的价值优势。','3.以卓越的解决方案提供、实施和交付，以及“一站式”的产品增值服务能力，赢得客户和合作伙伴的信赖。','\xa0','中建材信息的产品增值分销业务定位于为企业级用户提供国际一流的企业级软硬件产品、解决方案等全面的IT增值服务。自成立以来，中建材信息以创新和服务客户为己任，持续开发和优化，在市场营销策略、渠道网络、物流管理、电子商务平台等方面为客户和合作伙伴创造了“一站式”平台。现已覆盖了包括服务器、网络产品、存储产品、安全产品、视讯产品及其软件等产品领域，与多家国际著名IT厂商建立长期战略合作伙伴关系，集成商合作伙伴超过1000家，成为专业、高效和富有特色的增值IT产品、解决方案和服务提供商。','产品包括：·华为产品·GE产品·Microsoft产品·SAP等','\xa0','中建材信息基于对客户业务的深入理解和客户的长期信任，通过值得信赖的行业知识和服务交付能力，为重点行业客户，提供咨询、应用软件开发、系统集成、相关培训、IT外包服务等服务。','\xa0','中建材信息依靠母公司进出口业务的深厚根基，拥有专业的物流管理人员和团队，从事以IT产品为主的供应链管理物流服务。针对不同客户的物流需求，以及客户实际运作情况，中建材信息为客户设计个性化的整体物流方案和全面物流解决方案，借助物流功能集成和社会物流集成服务，提高物流管理效率、降低经营成本，为客户在市场中赢得竞争优势。','我们的服务分为以下几个方面:','·国际全程门到门运输服务','·报关、报检服务','·国内运输门到门服务','·货运保险服务','·仓储服务']
网络建设运维|15001-20000|上海|CC418708813|上海浦东软件园汇智科技有限公司|[]|[]|['http://www.wiseonline.com.cn']|['IT服务(系统/数据/维护),互联网/电子商务']|['上海市张江高科技园区亮秀路112号Y1座205-206室']|[]
售前技术支持、网络工程师|8000-15000|上海-普陀区|CC252596114|上海龙田数码科技有限公司|[]|[]|['http://www.shlongtian.com']|['计算机软件,计算机硬件,IT服务(系统/数据/维护)']|['上海市普陀区中江路879号17栋三楼']|[]
行业销售经理/大客户经理/产品售前经理（网络安全产品）|8000-16000|上海|CC233511711|上海能动信息系统有限公司|[]|[]|[]|['上海市浦东新区东方路428号（近2/4/6/9号线世纪大道地铁站）']|[]|[]
高薪诚聘专利代理人|10001-15000|上海|CC135049547|北京同立钧成知识产权代理有限公司|[]|[]|['http://www.infopatent.com.cn/']|['专业服务/咨询(财会/法律/人力资源等),电子技术/半导体/集成电路,仪器仪表及工业自动化,互联网/电子商务']|['北京市海淀区西直门北大街32号']|['\xa0\xa0\xa0','成立于2001年，是一家在业界具有较高专业声誉的涉外专利代理机构，各种业务均位于本行业前列。旗下还包括北京华意律师事务所，隆德国际知识产权研究中心，共同组成三位一体的知识产权集团。','\xa0\xa0\xa0总部设在北京，西安、美国洛杉矶设有分公司。','\xa0\xa0\xa0我们所从事的专业服务是：帮助国内外各领域的优秀研发团队将其创新成果申请国内外专利。包括但不限于，与研发人员进行专利技术的挖掘、文件的撰写和翻译；专利纠纷的咨询与代理；专利策略的规划与运作；知识产权课题的研究等。','\xa0\xa0\xa0我们所服务的客户为：国内外知名的超大型企业、跨国企业、上市公司。','\xa0\xa0\xa0我们成功地代理了多个行业有重大影响的专利纠纷案件，更显著的业绩还日渐不断地增加。','我们拥有一支由资深专利代理人、司法鉴定专家和专业律师组成的优秀团队。他们多拥有博士、硕士、双学位等相关专业技术学历，且多具有研发经历，涉及通信、计算机、电子、自动化等技术领域。','\xa0\xa0\xa0我们热诚期待新同事的加盟。','\xa0\xa0\xa0我们为您提供舒适的办公环境，融洽的工作氛围，完善的福利制度保障，希望您快乐的工作。','\xa0\xa0\xa0我们为您提供专业且系统的职业培训，丰富的锻炼机会，协助您尽快地成长，拓展广阔的空间。','\xa0\xa0\xa0我们希望有幸能与您一起随着知识产权这个朝阳行业共同发展，共铸辉煌！']
网络工程师|20001-30000|上海-虹口区|CC641739523|上海前隆金融信息服务有限公司|[]|[]|['http://www.mobanker.com']|['互联网/电子商务']|['上海市虹口区东大名路1050号绿地北外滩中心9楼']|['\xa0\xa0\xa0']
网络工程师|4001-6000|上海-静安区|CC138255815|上海胜蓝信息技术服务有限公司|[]|[]|['http://www.e-sunlight.com']|['IT服务(系统/数据/维护),计算机硬件']|['上海市恒丰北路100号林顿大厦1508室']|[]
