job_nm|month_pay|job_loc|co_id|co_nm|co_ownership|co_ee_size|co_link|co_industry|co_add|co_desc
客户主任/销售工程师（, Wireless team-SH）|8001-10000|上海-徐汇区|CC465338519|安立通讯科技(上海)有限公司|外商独资|100-499人|http://www.anritsu.com|通信/电信运营、增值服务|上海市徐汇区桂平路391号新漕河泾国际商务中心A座27楼|[<Element div at 0x107789138>]
数据通信工程师|4001-6000|上海|CC378606386|上海云朴信息科技有限公司|民营|20-99人||上海市徐汇区柳州路399号恒地仓国际大厦||
网络工程师|8000-12000|上海-徐汇区|CC378606386|上海云朴信息科技有限公司|民营|20-99人||上海市徐汇区柳州路399号恒地仓国际大厦||
IT运维专员|5000-10000|上海-虹口区|CC197398817|上海财安金融服务集团股份有限公司|股份制企业|1000-9999人|http://www.in-rich.com/|基金/证券/期货/投资|上海市虹口区邯郸路43号中观产业园8楼|[<Element div at 0x1077893b8>, <Element div at 0x1077894f8>]
语音工程师|8000-12000|上海|CC120477843|上海合胜计算机科技股份有限公司|民营|500-999人|http://www.mvs.com.cn|其他,IT服务(系统/数据/维护)|上海市长宁区协和路787号A楼北幢|
IT工程师|8001-10000|上海-徐汇区|CC461529332|上海柏涛建筑设计有限公司|民营|100-499人||上海市崇明县长江农场长江大街161号2幢3633室（上海长江经济园区）||
技术支持工程师|8001-10000|上海|CC370404089|上海层峰网络科技有限公司|其它|20-99人|http://www.zenlayer.com|IT服务(系统/数据/维护),通信/电信运营、增值服务,通信/电信/网络设备|上海市上海市闸北区江场三路58号10号楼7楼|[<Element div at 0x107789c28>]
系统集成工程师|8001-10000|上海|CC172693813|上海励沛信息技术有限公司|民营|20-99人|http://www.lipei-it.com|IT服务(系统/数据/维护),计算机硬件,通信/电信运营、增值服务,互联网/电子商务|长宁区中山西路930号云都虹桥大厦10楼B座|[<Element div at 0x107789c78>]
SDN开发工程师|6000-10000|上海|CC157359810|上海易声通信技术发展有限公司|民营|20-99人|http://www.esun21.com|通信/电信运营、增值服务,计算机硬件,IT服务(系统/数据/维护)|上海市闸北区恒丰路1号创智联合大厦18楼|[<Element div at 0x107789f98>]
售前技术支持|5000-10000|上海|CC157359810|上海易声通信技术发展有限公司|民营|20-99人|http://www.esun21.com|通信/电信运营、增值服务,计算机硬件,IT服务(系统/数据/维护)|上海市闸北区恒丰路1号创智联合大厦18楼|[<Element div at 0x107789ea8>]
高级网络工程师|15001-20000|上海|CC524500221|上海即富信息技术服务有限公司|民营|500-999人|http://www.jfpal.com/|互联网/电子商务,银行,基金/证券/期货/投资,租赁服务|上海市浦东新区金科路2555号（中国芯科技园）C栋|
系统工程师|7000-12000|上海-徐汇区|CC133924040|上海文广科技(集团)有限公司|国企|100-499人||上海市徐汇区宜山路757号4楼||[<Element div at 0x1077899f8>, <Element div at 0x1077894f8>, <Element div at 0x107789548>, <Element div at 0x1077893b8>, <Element div at 0x107789a48>, <Element div at 0x107789cc8>]
网络运维工程师|6001-8000|上海|CC167709119|上海华浪计算机科技有限公司|民营|100-499人|http://www.hualang-it.com.cn|计算机软件,IT服务(系统/数据/维护),基金/证券/期货/投资|上海市徐汇区常熟路165号103乙|
高级技术支持工程师|8000-15000|上海|CC000418162|上海雨人软件技术开发有限公司|外商独资|100-499人|http://http：//www.nebuinfo.com|计算机软件,IT服务(系统/数据/维护),计算机硬件|上海市普陀区中江路879号天地软件园10号楼2楼|[<Element div at 0x10779fef8>]
驻场网络工程师|6001-8000|上海-浦东新区|CC263073182|建投数据科技股份有限公司|国企|100-499人|http://www.jicdata.com/|IT服务(系统/数据/维护),计算机软件|北京市海淀区中关村南大街甲56号方圆大厦8层|
产品工程师-华为IT、IP-上海|8001-10000|上海|CC143900599|中建材信息技术股份有限公司|股份制企业|100-499人|http://www.cnbmtech.com/|计算机硬件,通信/电信运营、增值服务,医疗设备/器械,通信/电信/网络设备|北京市海淀区首体南路9#主语商务中心4号楼18层1801|
网络建设运维|15001-20000|上海|CC418708813|上海浦东软件园汇智科技有限公司|国企|20-99人|http://www.wiseonline.com.cn|IT服务(系统/数据/维护),互联网/电子商务|上海市张江高科技园区亮秀路112号Y1座205-206室|[<Element div at 0x10779fef8>, <Element div at 0x10779fb88>, <Element div at 0x10779f5e8>, <Element div at 0x10779f638>]
售前技术支持、网络工程师|8000-15000|上海-普陀区|CC252596114|上海龙田数码科技有限公司|民营|100-499人|http://www.shlongtian.com|计算机软件,计算机硬件,IT服务(系统/数据/维护)|上海市普陀区中江路879号17栋三楼|[<Element div at 0x10779ff48>, <Element div at 0x10779fa98>, <Element div at 0x10779fb38>, <Element div at 0x10779f7c8>]
行业销售经理/大客户经理/产品售前经理（网络安全产品）|8000-16000|上海|CC233511711|上海能动信息系统有限公司|民营|20-99人||上海市浦东新区东方路428号（近2/4/6/9号线世纪大道地铁站）||[<Element div at 0x10779da98>]
高薪诚聘专利代理人|10001-15000|上海|CC135049547|北京同立钧成知识产权代理有限公司|民营|100-499人|http://www.infopatent.com.cn/|专业服务/咨询(财会/法律/人力资源等),电子技术/半导体/集成电路,仪器仪表及工业自动化,互联网/电子商务|北京市海淀区西直门北大街32号|
网络工程师|20001-30000|上海-虹口区|CC641739523|上海前隆金融信息服务有限公司|民营|500-999人|http://www.mobanker.com|互联网/电子商务|上海市虹口区东大名路1050号绿地北外滩中心9楼|
网络工程师|4001-6000|上海-静安区|CC138255815|上海胜蓝信息技术服务有限公司|民营|20-99人|http://www.e-sunlight.com|IT服务(系统/数据/维护),计算机硬件|上海市恒丰北路100号林顿大厦1508室|[<Element div at 0x10779fe08>, <Element div at 0x10779fae8>, <Element div at 0x10779fe58>, <Element div at 0x10779f688>, <Element div at 0x10779fbd8>, <Element div at 0x10779f9f8>]
IT硬件销售（包住宿）|5000-10000|上海-普陀区|CC701714023|上海时伦信息技术有限公司|民营|100-499人|http://www.deshine.com.cn|计算机硬件|普陀区真南路1428号致盛大厦北楼D座1105D室|[<Element div at 0x10779ff98>]
系统工程师|6001-8000|上海|CC750840281|上海纬那信息技术有限公司|民营|20人以下||上海市普陀区交通路2447号（德必园）1号楼212室||[<Element div at 0x10779f138>]
