wuyaojob_co_web_id|co_nm|co_ownership|co_staff_num|co_type|co_short_desc|co_add
1987040|杭州思高建筑装饰工程有限公司|民营公司|少于50人|"<label class=""at"">家居/室内设计/装潢 建筑/建材/工程</label>"|"
            公司成立于2003年,座落在上城区凤凰山脚路，环境优美，办公室群山环抱。公司主要经营室内空间的装饰设计与施工，主要以公装为主，兼有别墅、精装房。现因业务的拓展需各人才加入，望共同成长。"|杭州上城区凤凰山脚路7号
1987041|上海爱仕得通讯器材有限公司||通信/电信/网络设备|NaN|"
            上海爱仕得通讯器材有限公司诚聘"|上海天目西路290号7层705室康吉大厦市政楼
1987042|北京世纪双源商贸有限公司|民营公司|少于50人|"<label class=""at"">批发/零售 快速消费品(食品、饮料、化妆品)</label>"|"
            本公司主要经营海参、鲍鱼。随着人的保健意识的增强，越来越多的人认识到海参的营养价值，这种海洋的珍品越来越近的走入了人们的生活中。现在公司刚刚成立，希望优秀的人士加入我们的团队！"|海淀区龙翔路24号(牡丹园附近)
||||||
1987044|深圳市和硕国际物流有限公司|交通/运输/物流|50-150人|NaN|"
            深圳市和硕国际物流有限公司，作为一家海陆空、进出口全方位均衡发展的国际物流公司，我们在基于国外市场的基础上积极开拓国内市场，作为NVOCC成员，我们积极为客户出谋划策，参与货主的订货处理、采购和生产计划控制，帮助货主实现生产控制、质量控制，以向客户提供优质便捷服务为己任，稳中求进，努力成为一个集优良管理，优良经营为一身的现代物流企业。 NaN 
　　作为中国物流协会成员之一，和硕物流秉承“以诚为先，谋求共同发展；以人为本，追求完美服务”的经营理念，凭着一支经验丰富的货运物流事业骨干和勇于开拓进取的业务及操作人员，为客户提供最优质的服务。同时，为保证服务质量，我们还通过了世界最权威的服务质量检验机构——“英国标准检验局（BSI）”的ISO质量体系认证。 NaN 
　　和硕物流与世界上多个国家或地区的货运代理公司、物流公司建立了长期而稳定的海外代理关系。先进的企业管理模式、电子网络化的交流手段，使我司与国外代理和合作伙伴之间建立了良好、快速、高效的互动渠道。 NaN 
　　严格的管理制度、先进的管理体系、雄厚的经济实力、可靠的资信状况，使和硕物流在激烈竞争中不断取胜，随着中国物流业的不断发展逐渐成熟和进步。"|深圳市罗湖区
|北京益世通利智能通讯技术有限公司||通信/电信运营、增值服务|NaN|"
            北京益世通利智能通讯技术有限公司招聘计划 
北京益世通利智能通讯技术有限公司是海淀区一家高新技术企业。公司在2005年初成功的实现了转型，开始专注于智能电话及行业应用系统的开发，在倪光南院士和信息产业部各级领导的大力支持下，公司近年来得到了前所未有的迅猛发展。 NaN 
益世通利公司位于上地信息环岛西北角嘉华大厦（一座5A级的甲级写字楼），拥有一流的办公、研发环境。注册资金1000万，是一个技术主导性的高科技企业，人文环境十分优越，在商政办公通讯、智能社区信息服务、服务产业、智能家居等领域，应用十分广泛，正吸引业界各类优秀的资源，不断与益世通利公司进行整合和加盟。 NaN 
北京益世通利智能通讯技术有限公司目标是将智能电话产业做大做强，益世通利将以强大的实力，全新的理念，开阔的视野，真诚的服务与业界精英共创未来！我们致力于将智能电话做成新兴的产业，为用户、为增值运营商，为社会创造价值。 NaN 
北京益世通利公司，热忱欢迎有识之士、有志之士、有才之士—那些希望自已是未来上市公司核心骨干的研发精英、营销精英、运营精英加盟本企业，这里是开拓创新者、奋发向上者、敬业爱岗者的工作沃土，我们提供给您：一个未来5年内百亿规模上市公司的新平台、新舞台！ NaN 
请注明您所要申请的职位名称。 
投递简历请勿携带附件，并请在邮件标题上注明所应聘职位！否则将以无效简历删除！ NaN 
接收简历的邮箱：heyx@eastel.com.c 
联系电话：010-62986600 
联系人：谭小姐"|
1987046|深圳市金比诺实业有限公司|民营公司|50-150人|"<label class=""at"">贸易/进出口 家具/家电/玩具/礼品</label>"|"
                本公司成立于2000年，通过ISO认证，拥有产品开发团队和生产能力。销售的产品——便携式高压清洗机、淋浴器、啤酒机等，都是拥有自主知识产权专利产品，产品主导方向，节能环保。产品类别：车用电器。产品畅销海外。目前正致力于国内外市场的进一步开拓。位于坪山中心区，前后公园，体育中心，交通配套方便。本公司推行诚实进取，臻于至善的经营理念，携手全体员工，迈向辉煌未来。要求员工懂得自我增值，与公司同成长，并为优秀员工提供良好待遇与晋升机会。 NaN 公司地址：深圳市龙岗坪山新区金牛西路华瀚科技工业园三栋三楼。 NaN 联系电话：0755-89366060    曾小姐 NaN 公司网址: www.icaniam.com"|深圳市坪山新区金牛西路16号华瀚科技工业园三栋三楼
1987047|中国物资再生协会||少于50人|NaN|"
            http://www.crra.com.c"|西城区月坛北街25号
1987048|新华人寿保险股份有限公司江苏分公司|合资|500-1000人|"<label class=""at"">保险 金融/投资/证券</label>"|"
            新华人寿保险股份有限公司是经国务院同意、中国人民银行总行批准，于1996年9月成立的全国性、股份制专业寿险公司。经营范围包括各类人寿保险、健康保险和人身意外伤害保险业务。 
公司于2000年成功地吸收外资参股，实现了资本的国际化。公司现注册资本12亿元，现有股东15家，其中中资股东12家，主要是大型国有企业和股份制企业；3家外资股东为：苏黎世保险公司、国际金融公司、明治安田生命保险公司。 NaN NaN 
● 财务稳健： 
☆ 2005年实现保费收入210.8亿元，同比增长12%； 
☆　连续九年保持盈利，经济效益显著； 
☆　截止2005年底，公司总资产已超过672亿元； 
● 企业荣誉： 
☆2006年1月,新华保险荣获“2005年度***企业公众形象”大奖； 
☆2005年12月,公司荣获“2005年度最受信赖的寿险公司”殊荣； 
☆2005年12月,公司荣获“中国十大保险品牌”； 
☆2005年11月,公司入选“2005年中国企业客户关怀80强”； 
☆2005年11月，新华保险同时获得“2005年度全国企业文化优秀奖”和“2005年度北京市企业文化优秀奖”，成为行业内唯一获奖的保险企业。 
☆2005年10月,新华人寿保险股份有限公司获得美国loma国际金融保险管理协会颁发的五项奖项，这是loma协会所授予保险公司的最高荣誉。 
☆2005年8月,公司获得中国500最具价值品牌； 
☆2005年5月,新华保险荣获中国十大文化推动力企业品牌。 
☆2005年4月,公司获得“全国企业质量信誉aaa等级”； 
☆2004年10月,新华保险被评选为五十家“最具世界影响力的中国著名企业”之一； 
☆2003年11月,公司被北京大学中国保险与社会保障研究中心聘为ccissr2004年度理事员单位； 
☆2000年11月15日，新华公司获得首都精神文明办公室和北京市委宣传部联合颁发的第四届“首都精神文明建设***活动奖”，这是北京金融企业第一次获此殊荣。 
● 团队力量： 
经过十年发展，公司凝聚和培养了一大批志同道合、高度忠诚、执行力强、具有新华文化特质的核心骨干队伍，管理干部队伍超过6000人，销售队伍近14万人。新华人，是公司发展和壮大的坚强柱石，是新华保险的血脉和灵魂。 
● 企业文化： 
成立十年来，新华保险在业界建立了良好的品牌和成熟的企业文化。以发展为第一要务的世界观、“立信于心，尽责至善” 的责任观深入人心。2006年，新华保险企业文化推广主题为：“珍惜、感恩、超越、荣誉”。 NaN 
寿险链接－－－－寿险行销是一份什么样的事业? 
╠╠ 职业稳定：在这个行业没有失业和下岗，只有懒惰和放弃，在这个行业里，你可以确信：真诚、明智的努力绝不白费； 
╠╠实现自我：在这个行业里可以根据自己的具体情况制定目标和计划，并且在这个行业里会有许多人鼓励你、支持你、帮助你达成自己的目标，甚至还有源源不断的新观念、成功哲理激励你去达成自己的目标。 NaN 
╠╠晋升机会： 只要你尝试、努力，每一位寿险行销人员除了从事寿险行销，建立自己的广大客户网以外，更可以发展自己的团队，提升自己的经营层次，扩大自己的业务组织，成为一位有影响力的经营者、管理者和领导者。在学习中实践，在实践中学习。学习、学习、再学习；实践、实践、再实践；你的经营、管理和领导能力会一步步得到提高。随着经验的不断累积，职位相应得到提升的同时，个人威望也会不断提高。 
╠╠发展空间： 我国公民的保险意识正在逐步增强，经济收入的提高使人们对保险的需求越来越强烈，巨大的保险市场，为有志于从事寿险行销的人员提供了施展才华的广阔舞台。 
欢迎有志挑战自我，挑战高薪者前来应聘。 NaN NaN 
(职位申请后，请不要再申请公司其他招聘职位，我们将统一安排，以免混淆)"|南京市中华路26号
1987049|北京金宝伟业科技有限公司|多元化业务集团公司|150-500人|NaN|"
            北京金宝伟业科技有限公司，是一家集科研、开发、生产制造、市场经营、售后服务为一体的综合性高新技术企业。公司拥有一批优秀的企业管理人员和专业技术人员，正式员工400余人。 
我公司致力于健康饮水事业。主要经营生产学校专用温开水节能饮水机、家用净水器等多项环保节能型产品。蓬宝人以改善水质，促进健康饮水，提高国人的健康体质为已任，努力开拓，精益求精，力争成为健康饮水行业的带头兵。 产品以在港、澳、台地区销售五年之久，现正向全国推广，在首都北京已有几百家中、小学、幼儿园、企事业单位安装使用，深受广大用户喜爱。 “质量第一、诚信服务、敬业创新、不断进取”是我公司的企业文化特征。“竞于本业、开放合作”是我公司长期的发展方针.我公司愿与各届同仁真诚合作，以全新的营销模式与您共同建立长久牢固紧密的营销战略联盟、共同开创健康饮水的美好明天。 
企业精神：以人为本　科技创新　优质服务　诚实守信 
公司网站：www.bpao.com.c 
"|北京市朝阳区华侨城A2-9-2单元101室（北京欢乐谷）
