zl_co_id|zl_co_name|zl_co_tags|zl_co_website|zl_co_type|zl_co_ee_size|zl_co_address|zl_co_desc|zl_update_time
[%%COMPANYNUMBERTEM_HTML%%]|58同成|事业单位||事业单位|50-99人||是国内最大的的分类信息网站，本地化、自主且免费、真实高效是58同城网的三大特色。其服务覆盖生活的各个领域，提供房屋租售、招聘求职、商家黄页、二手买卖、汽车租售、宠物票务、旅游交友、餐饮娱乐等多种生活信息。截止2010年6月，58同城已在天津、上海等24个城市成立了分公司，并在全国379个城市开通分站。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|21世纪安信瑞德|私营||私营|1000人以上||北京链家房地产经纪有限公司是以地产中介业务为核心全国化发展的房地产综合服务体，体系内囊括地产、金融和商业三个部分，业务范围涉及房屋全程代理、房屋租赁、房屋买卖、豪宅租售、 央产房  上市交易、权证办理、按揭贷款、房地产投资咨询、商铺租售、写字楼租售及商品房、空置房、企业债权房销售代理等。公司立志成为国内在住宅地产经纪、金融按揭服务和商业地产服务方面的领跑者。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|10号厨房|私营||私营|1-49人||10号厨房是2011年新成立的餐饮连锁公司，环境高档典雅，主营一锅香和煲仔饭。公司计划三年内发展50家连锁店。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|901男装专卖|私营||私营|1-49人||专业男装批发，零售。专业男装批发，零售。专业男装批发，零售。专业男装批发，零售。专业男装批发，零售。专业男装批发，零售。专业男装批发，零售。专业男装批发，零售。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|ROSE女子美容养生会所|个人企业||个人企业|1-49人||ROSE女子美容养生会所是一家及美容、SPA、为一体的连锁机构，它融合西方最美时尚美容护肤元素，结合东方传统的养生理念，以一种休闲、舒适、健康的生活方式展示自然美。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|TARA珠宝定制工作室|私营||私营|1-49人||主营珠宝私人定制，彩宝，钻石，国外精工珠宝及古董珠宝为主。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|TOP数码港|私营||私营|1-49人||TOP数码港是一家专营手提电脑和网上淘宝平台手机批发或销售网店，主要职责是回答客服的问题，要熟悉手提电脑参数和手机参数。现在为了发展，特意招客服2人。有意者面谈。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|SUNGSHIN|私营||私营|1-49人||我公司是正规国家注册公司，代理校园相关产品，需要校园代理，希望广大学习积极联系我们，为未来走入社会提供预习机会。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|YN画室|私营||私营|1-49人||正规权威美术培训机构,10年历史，屡创辉煌 中美美术培训中心是由山东艺术学院在职工教师创办，经济南市教育局，济南市工商局登记注册的合法美术培训机构 教师队伍由山东艺术学院在职教师和研究生组成，同时聘请清华美院、中国美院、中央美院、山东工艺美院等重点院校教师来本中心任教 完善且行之有效的教学体系，高效大密度设计速成训练,让学员能在短时间内掌握绘画规律和技巧，并取得骄人成绩 食宿一体化封闭式管理，专职教师24小时驻班负责安全和考勤管理，配有专人保洁，为学员全身心投入学习提供有力保障 ６００平米教室及天光教室，电教设施齐全，专业图书室及资料库巧板 七年办学历史，平均一类院校过线率55%,二类院校过线率100%|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|xx有限公司|私营||私营|1-49人||峰泛传媒为国内金融类主流杂志《当代金融家》杂志上海地区广告独家代理。《当代金融家》杂志为人民银行研究生院主办的高端金融类杂志。作为人民银行四大杂志之一是唯一一本高度市场化运作的高端杂志。两会唯一可以入会场的金融类杂志。首都机场贵宾厅唯一一本金融类杂志。峰泛传媒期待你的加入。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|爱尔眼科医院食堂|私营||私营|1-49人||医院食堂，隶属于医院行政部，食堂以优质服务理念为员工、来宾大约300人提供早餐、中餐、晚餐。应聘者必须遵守医院的规章制度。公司欢迎服从安排、吃苦耐劳、做事利索、形象良好、身体健康的人员加入。|'20170602'
[%%COMPANYNUMBERTEM_HTML%%]|艾希服饰|私营||私营|1-49人||南山南油服装批发市场档口待遇面议南山南油服装批发市场档口待遇面议南山南油服装批发市场档口待遇面议南山南油服装批发市场档口待遇面议|'20170602'
